               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10477,            0.028662,            0.053841,            0.094078,             0.12626,            0.053468,            0.015838,            0.042849,            0.013806,            0.034594,            0.070789,           0.0032456,           0.0032456
                   1,            0.065263,             0.02306,            0.040811,             0.13319,             0.48377,              0.1735,            0.065603,            0.038899,            0.010819,            0.031977,            0.040757,           0.0065464,           0.0065464
                   2,            0.059628,            0.020321,            0.035379,             0.13315,              0.5104,             0.22736,             0.10376,            0.042297,           0.0083303,            0.027562,            0.010691,           0.0098141,           0.0098141
                   3,            0.054983,            0.019304,            0.032863,             0.37558,             0.46073,             0.30497,             0.12782,            0.032316,           0.0078463,            0.025165,           0.0098515,           0.0098515,           0.0098515
                   4,            0.051636,            0.018259,            0.029366,             0.45786,             0.39221,             0.35374,             0.14666,            0.033479,           0.0075075,            0.024085,           0.0098515,           0.0098515,           0.0098515
                   5,             0.04568,            0.017673,            0.028651,             0.34129,              0.5979,             0.43089,             0.22295,            0.026205,           0.0073074,            0.023589,            0.009802,            0.009802,            0.009802
                   6,            0.043429,            0.017058,            0.027309,             0.34846,             0.63382,             0.50683,             0.26772,            0.023816,           0.0073376,            0.022643,           0.0097525,           0.0097525,           0.0097525
                   7,            0.043575,              0.0177,            0.026773,              0.3981,             0.64847,             0.52806,             0.26356,            0.023718,           0.0067315,            0.022376,            0.009703,            0.009703,            0.009703
                   8,            0.042299,            0.016765,            0.023796,             0.39991,             0.69482,             0.58121,             0.28889,            0.024445,           0.0067543,            0.020165,           0.0096535,           0.0096535,           0.0096535
                   9,            0.039852,             0.01625,             0.02289,             0.41664,             0.74578,             0.64732,              0.3835,            0.022126,           0.0065267,            0.017947,            0.009604,            0.009604,            0.009604
                  10,            0.041803,            0.016227,             0.02471,             0.46159,             0.73963,             0.66464,             0.35671,            0.026217,            0.006596,            0.017572,           0.0095545,           0.0095545,           0.0095545
                  11,            0.041418,            0.015609,            0.021468,              0.5391,             0.72972,             0.70359,             0.41991,            0.020733,           0.0066483,            0.015544,            0.009505,            0.009505,            0.009505
                  12,             0.04069,            0.015722,            0.021349,             0.60793,             0.72363,             0.76492,             0.47739,            0.019641,           0.0066898,            0.016235,           0.0094555,           0.0094555,           0.0094555
                  13,            0.039436,            0.015487,            0.017463,             0.66823,             0.74827,             0.79669,              0.3876,            0.026003,           0.0063944,            0.011084,            0.009406,            0.009406,            0.009406
                  14,            0.039162,            0.016392,            0.019429,             0.71191,             0.77688,             0.81477,             0.46242,            0.022163,             0.00683,            0.011039,           0.0093565,           0.0093565,           0.0093565
                  15,            0.039697,            0.015916,            0.017057,             0.79794,             0.76954,             0.86539,             0.50515,            0.023666,           0.0065034,            0.010675,            0.009307,            0.009307,            0.009307
                  16,            0.037835,            0.014881,             0.01595,             0.77873,             0.82625,             0.88613,             0.52997,            0.020926,           0.0063078,           0.0094379,           0.0092575,           0.0092575,           0.0092575
                  17,            0.039437,            0.015248,            0.012946,             0.75463,             0.80153,              0.8182,             0.44508,            0.024331,            0.006323,            0.008333,            0.009208,            0.009208,            0.009208
                  18,            0.038231,            0.015484,            0.014442,             0.74335,             0.78614,             0.82632,             0.49897,            0.020973,           0.0064401,           0.0073906,           0.0091585,           0.0091585,           0.0091585
                  19,            0.036563,            0.015072,              0.0133,             0.84696,             0.82021,             0.89519,             0.56197,            0.020921,           0.0064347,           0.0065691,            0.009109,            0.009109,            0.009109
                  20,            0.037239,            0.015377,            0.012451,             0.82517,             0.78154,             0.87106,             0.57134,            0.019419,           0.0065984,           0.0082673,           0.0090595,           0.0090595,           0.0090595
                  21,            0.035929,            0.014827,            0.010211,             0.82072,             0.73426,             0.83186,               0.508,             0.02148,           0.0064054,           0.0065999,             0.00901,             0.00901,             0.00901
                  22,            0.035191,            0.014743,            0.011276,             0.86499,             0.80612,             0.91457,             0.60582,            0.019299,            0.006251,           0.0062987,           0.0089605,           0.0089605,           0.0089605
                  23,            0.034714,            0.015468,            0.011785,             0.78299,             0.83413,              0.8707,             0.53711,             0.02317,           0.0059767,           0.0049763,            0.008911,            0.008911,            0.008911
                  24,            0.037977,            0.015433,            0.011106,             0.85906,             0.83741,             0.91331,              0.5917,            0.021238,            0.006026,           0.0047999,           0.0088615,           0.0088615,           0.0088615
                  25,            0.035161,             0.01473,            0.011836,             0.81578,             0.82621,             0.89696,             0.60279,            0.019096,            0.006259,           0.0057905,            0.008812,            0.008812,            0.008812
                  26,            0.032919,            0.015062,            0.011016,             0.85544,             0.84456,             0.91643,             0.62207,            0.017255,           0.0062423,           0.0058154,           0.0087625,           0.0087625,           0.0087625
                  27,            0.031212,            0.014503,            0.010527,             0.84754,             0.80463,             0.89908,             0.58636,            0.018606,           0.0061605,           0.0050264,            0.008713,            0.008713,            0.008713
                  28,            0.035618,            0.015154,             0.01205,             0.86894,             0.85307,             0.92741,             0.61338,            0.017604,           0.0060383,            0.005096,           0.0086635,           0.0086635,           0.0086635
                  29,            0.034625,            0.014295,           0.0098342,             0.82573,             0.85349,             0.91659,             0.59578,            0.018681,           0.0062007,           0.0040887,            0.008614,            0.008614,            0.008614
                  30,            0.035288,             0.01439,           0.0087345,             0.88345,             0.83438,             0.92649,             0.61411,            0.018646,           0.0060987,           0.0040984,           0.0085645,           0.0085645,           0.0085645
                  31,            0.033246,            0.014507,           0.0095996,               0.858,             0.84152,             0.91954,             0.61282,            0.017868,           0.0060319,           0.0047305,            0.008515,            0.008515,            0.008515
                  32,            0.033656,            0.014303,           0.0093418,             0.82765,             0.82061,              0.8866,             0.58044,            0.018186,           0.0060645,           0.0051522,           0.0084655,           0.0084655,           0.0084655
                  33,            0.033186,            0.014548,            0.008578,             0.84652,             0.86336,             0.89499,             0.59296,            0.018733,           0.0058383,           0.0053609,            0.008416,            0.008416,            0.008416
                  34,             0.03437,            0.014135,           0.0086037,             0.82903,             0.84743,             0.89551,             0.61915,            0.017839,           0.0058382,           0.0051443,           0.0083665,           0.0083665,           0.0083665
                  35,            0.032261,             0.01472,           0.0079208,             0.87652,             0.83575,             0.91586,              0.6526,            0.017682,           0.0058086,           0.0034273,            0.008317,            0.008317,            0.008317
                  36,            0.034269,            0.014168,           0.0088063,             0.86681,             0.86426,             0.93697,             0.63452,            0.016858,           0.0058934,           0.0043441,           0.0082675,           0.0082675,           0.0082675
                  37,            0.033832,            0.013964,           0.0082996,             0.79592,             0.87478,             0.91815,             0.61578,            0.017002,           0.0062312,           0.0048005,            0.008218,            0.008218,            0.008218
                  38,            0.033111,            0.014051,            0.008548,             0.83513,             0.85429,             0.91331,             0.64364,            0.016702,            0.006086,           0.0048432,           0.0081685,           0.0081685,           0.0081685
                  39,             0.03322,            0.013763,           0.0085659,             0.86596,              0.8663,             0.92703,             0.62592,            0.017664,           0.0062644,           0.0036982,            0.008119,            0.008119,            0.008119
                  40,            0.032978,            0.014764,           0.0098852,             0.87953,             0.86834,             0.91983,             0.65151,            0.016407,           0.0059595,           0.0038962,           0.0080695,           0.0080695,           0.0080695
                  41,            0.029886,            0.014002,           0.0089894,             0.87494,             0.83986,              0.9119,             0.64405,            0.016739,           0.0059966,           0.0039488,             0.00802,             0.00802,             0.00802
                  42,            0.037127,            0.013469,           0.0079283,             0.82909,             0.82024,             0.88246,             0.61064,            0.017161,            0.006199,           0.0042703,           0.0079705,           0.0079705,           0.0079705
                  43,            0.033242,            0.014062,           0.0088752,             0.84774,             0.84837,             0.90694,              0.6245,            0.018471,           0.0060547,            0.003487,            0.007921,            0.007921,            0.007921
                  44,             0.03467,            0.014036,           0.0092821,             0.83498,             0.83204,             0.88322,             0.59916,             0.01849,           0.0060139,           0.0069171,           0.0078715,           0.0078715,           0.0078715
                  45,            0.030889,             0.01405,           0.0083347,             0.87359,             0.90267,             0.94017,             0.66523,            0.015897,           0.0059017,           0.0028263,            0.007822,            0.007822,            0.007822
                  46,            0.033435,             0.01414,           0.0094031,             0.89503,              0.8787,             0.94586,             0.66235,            0.016681,           0.0057255,           0.0043673,           0.0077725,           0.0077725,           0.0077725
                  47,            0.031551,            0.014421,            0.007806,             0.90336,             0.87129,             0.94193,             0.65183,            0.016894,           0.0058125,           0.0037489,            0.007723,            0.007723,            0.007723
                  48,            0.031888,            0.014058,           0.0079138,             0.85152,             0.86496,             0.92894,             0.65957,            0.016808,           0.0060187,           0.0048346,           0.0076735,           0.0076735,           0.0076735
                  49,            0.028213,            0.013999,           0.0076802,             0.92443,             0.82692,             0.93305,             0.66805,            0.016861,           0.0058066,           0.0033717,            0.007624,            0.007624,            0.007624
                  50,            0.030066,            0.013346,           0.0059217,             0.89634,             0.82818,             0.92922,              0.6496,             0.01716,           0.0059911,              0.0034,           0.0075745,           0.0075745,           0.0075745
                  51,            0.030015,            0.013877,           0.0073099,              0.8916,             0.85844,             0.93123,             0.63396,            0.016737,           0.0058818,           0.0037667,            0.007525,            0.007525,            0.007525
