               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090528,             0.03009,            0.046574,             0.57548,             0.18884,             0.24483,             0.11525,            0.033925,             0.01387,            0.031794,            0.070789,           0.0032456,           0.0032456
                   1,            0.058643,            0.022392,            0.036535,             0.42609,             0.55796,             0.37421,             0.18015,            0.038331,           0.0068999,            0.025377,            0.040757,           0.0065464,           0.0065464
                   2,            0.055961,            0.017997,            0.029814,             0.58419,             0.50061,             0.54205,             0.22735,            0.029858,           0.0058413,            0.019215,            0.010691,           0.0098141,           0.0098141
                   3,            0.050612,            0.015707,            0.024848,             0.40964,              0.7808,             0.63586,             0.34721,             0.03226,           0.0050025,            0.015363,           0.0098515,           0.0098515,           0.0098515
                   4,            0.049082,            0.014104,            0.021231,             0.52018,             0.83505,             0.77394,             0.45862,            0.028474,            0.004479,             0.01317,           0.0098515,           0.0098515,           0.0098515
                   5,            0.047523,            0.013186,            0.018498,             0.66221,             0.78524,             0.81678,             0.45742,            0.027085,           0.0045098,            0.010152,            0.009802,            0.009802,            0.009802
                   6,            0.045452,            0.012984,            0.013716,             0.81915,             0.89194,             0.93084,             0.63845,            0.020904,           0.0042072,           0.0059138,           0.0097525,           0.0097525,           0.0097525
                   7,            0.041429,            0.012323,            0.011817,             0.66083,             0.88456,             0.81405,             0.55713,            0.022888,           0.0042823,           0.0067596,            0.009703,            0.009703,            0.009703
                   8,            0.045786,            0.012616,            0.010305,             0.81276,             0.89086,             0.90479,             0.64831,            0.025836,           0.0041072,           0.0038035,           0.0096535,           0.0096535,           0.0096535
                   9,            0.043302,            0.011866,           0.0097116,             0.84802,             0.96198,             0.93284,             0.70172,            0.020296,           0.0041723,           0.0036248,            0.009604,            0.009604,            0.009604
                  10,            0.042768,             0.01193,            0.010155,             0.72925,             0.92419,             0.89685,             0.63051,            0.021911,            0.004273,           0.0041201,           0.0095545,           0.0095545,           0.0095545
                  11,            0.041677,            0.011804,           0.0084181,              0.8503,             0.94631,             0.94027,              0.6104,            0.025629,           0.0040995,           0.0037444,            0.009505,            0.009505,            0.009505
                  12,            0.043531,            0.010915,           0.0080479,             0.94138,             0.94888,             0.98369,             0.78006,            0.018468,           0.0039953,           0.0033124,           0.0094555,           0.0094555,           0.0094555
                  13,            0.043588,            0.011168,           0.0083431,             0.79963,             0.93356,             0.91385,             0.66423,            0.021259,           0.0040111,           0.0028567,            0.009406,            0.009406,            0.009406
                  14,            0.043415,            0.010987,           0.0090272,             0.90212,             0.93543,             0.96643,             0.69882,            0.019809,           0.0039697,           0.0040335,           0.0093565,           0.0093565,           0.0093565
                  15,            0.035211,            0.011059,           0.0080088,             0.94417,             0.94966,             0.97858,             0.75283,            0.017306,           0.0039463,           0.0031885,            0.009307,            0.009307,            0.009307
                  16,            0.039654,            0.011221,           0.0073016,             0.92411,              0.9544,             0.97186,             0.71009,            0.017708,           0.0038171,           0.0029732,           0.0092575,           0.0092575,           0.0092575
                  17,            0.037453,            0.010921,           0.0064839,             0.94071,             0.95967,             0.98115,             0.77015,            0.017652,           0.0037532,           0.0023975,            0.009208,            0.009208,            0.009208
                  18,            0.038422,            0.011213,           0.0067034,              0.9449,             0.95585,             0.98171,             0.76532,             0.01667,           0.0039576,           0.0022437,           0.0091585,           0.0091585,           0.0091585
                  19,            0.033873,            0.010465,           0.0056983,              0.9731,              0.9687,             0.98427,             0.77502,            0.016093,           0.0037586,           0.0023304,            0.009109,            0.009109,            0.009109
                  20,            0.036585,            0.010778,           0.0062619,             0.96032,             0.93392,             0.98208,             0.75043,            0.016772,           0.0039162,           0.0025762,           0.0090595,           0.0090595,           0.0090595
                  21,            0.035977,            0.011099,           0.0053078,             0.91932,             0.97768,             0.97837,             0.77121,            0.016891,           0.0037202,           0.0034507,             0.00901,             0.00901,             0.00901
                  22,            0.033653,           0.0099735,           0.0067543,             0.95157,             0.96945,             0.98423,             0.80442,            0.016708,           0.0036149,           0.0025936,           0.0089605,           0.0089605,           0.0089605
                  23,             0.03622,            0.010438,           0.0068831,             0.98189,             0.96845,              0.9874,             0.81627,            0.012917,           0.0035216,           0.0021923,            0.008911,            0.008911,            0.008911
                  24,            0.033334,            0.010175,             0.00701,             0.97199,             0.94878,             0.98506,              0.7943,            0.012709,           0.0036037,           0.0030463,           0.0088615,           0.0088615,           0.0088615
                  25,             0.03225,            0.010546,           0.0053758,             0.96956,             0.96025,             0.98611,             0.80849,            0.013837,           0.0036032,           0.0021265,            0.008812,            0.008812,            0.008812
                  26,            0.033766,            0.010803,            0.007182,             0.97221,             0.97754,             0.98947,             0.80826,            0.013842,           0.0035904,           0.0018152,           0.0087625,           0.0087625,           0.0087625
                  27,            0.032551,           0.0099784,           0.0054174,             0.98599,             0.97992,             0.98917,              0.8158,            0.014103,           0.0034534,           0.0017909,            0.008713,            0.008713,            0.008713
                  28,            0.029303,           0.0099813,           0.0044756,             0.97762,             0.98796,             0.98768,             0.84065,            0.012478,             0.00352,           0.0019878,           0.0086635,           0.0086635,           0.0086635
                  29,            0.031404,           0.0098713,           0.0059992,              0.9757,             0.98662,             0.99016,             0.81512,            0.013301,           0.0034917,           0.0019035,            0.008614,            0.008614,            0.008614
                  30,             0.03353,           0.0098249,             0.00521,             0.97014,             0.96627,             0.98747,             0.80959,            0.015561,           0.0034823,           0.0019503,           0.0085645,           0.0085645,           0.0085645
                  31,             0.03112,            0.010109,           0.0057098,             0.96675,             0.96744,             0.98629,             0.81894,            0.014852,           0.0034678,           0.0022358,            0.008515,            0.008515,            0.008515
                  32,            0.032534,            0.010215,           0.0068862,             0.97433,             0.95957,             0.98308,             0.82034,            0.013841,           0.0035029,           0.0024919,           0.0084655,           0.0084655,           0.0084655
                  33,            0.031401,           0.0098862,            0.003874,             0.96126,             0.97439,             0.98399,             0.80106,            0.013836,           0.0037225,           0.0024431,            0.008416,            0.008416,            0.008416
                  34,             0.02971,            0.010109,           0.0044853,              0.9757,             0.97578,             0.98842,              0.8412,            0.012679,           0.0033523,           0.0029353,           0.0083665,           0.0083665,           0.0083665
                  35,            0.030755,           0.0096964,           0.0053579,             0.97425,              0.9866,             0.98891,             0.81811,            0.013305,            0.003232,           0.0021235,            0.008317,            0.008317,            0.008317
                  36,             0.03198,           0.0095817,           0.0043977,             0.98195,             0.98559,             0.98877,              0.8524,            0.011786,           0.0033425,            0.001882,           0.0082675,           0.0082675,           0.0082675
                  37,            0.029605,            0.009681,           0.0038788,             0.98514,              0.9886,             0.99024,             0.84334,            0.011737,           0.0032493,           0.0017913,            0.008218,            0.008218,            0.008218
                  38,            0.029106,           0.0090622,           0.0037495,             0.97774,             0.96954,              0.9847,             0.82532,            0.012896,           0.0035131,           0.0016409,           0.0081685,           0.0081685,           0.0081685
                  39,            0.028562,           0.0095036,           0.0028613,             0.98067,             0.97177,             0.98902,             0.80681,            0.013471,           0.0033902,           0.0016971,            0.008119,            0.008119,            0.008119
                  40,            0.028824,           0.0093166,           0.0043032,             0.97369,             0.96611,             0.98439,             0.82593,            0.013117,           0.0033733,           0.0016324,           0.0080695,           0.0080695,           0.0080695
                  41,            0.029062,           0.0093509,           0.0057328,             0.97629,             0.97355,             0.98916,             0.83024,            0.011755,            0.003303,           0.0013185,             0.00802,             0.00802,             0.00802
                  42,            0.027413,           0.0091189,           0.0041134,             0.98622,             0.96425,             0.98829,             0.84877,            0.011189,           0.0032077,           0.0015388,           0.0079705,           0.0079705,           0.0079705
                  43,            0.029691,           0.0091709,           0.0039577,             0.97047,             0.97323,             0.98895,             0.85054,            0.011188,           0.0031616,           0.0014308,            0.007921,            0.007921,            0.007921
                  44,            0.028228,           0.0091662,            0.007309,             0.96561,             0.98228,              0.9893,              0.8425,            0.011738,           0.0031648,           0.0016762,           0.0078715,           0.0078715,           0.0078715
                  45,            0.027746,           0.0089218,           0.0038637,              0.9771,             0.97939,             0.98858,             0.85256,            0.011778,           0.0032418,           0.0012668,            0.007822,            0.007822,            0.007822
                  46,            0.029221,           0.0097282,           0.0053358,             0.97738,             0.98285,             0.98951,             0.85141,            0.011405,           0.0032081,           0.0013923,           0.0077725,           0.0077725,           0.0077725
                  47,            0.025819,            0.008619,           0.0047944,             0.98467,             0.98153,             0.99003,             0.83909,            0.011361,           0.0033465,           0.0012323,            0.007723,            0.007723,            0.007723
