               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086712,            0.030035,            0.050709,             0.17368,             0.11058,             0.09858,            0.038231,            0.039561,            0.014037,            0.033012,            0.070789,           0.0032456,           0.0032456
                   1,            0.059856,            0.022665,             0.03857,             0.10975,             0.33795,             0.15622,             0.06399,            0.044807,           0.0081428,            0.028359,            0.040757,           0.0065464,           0.0065464
                   2,              0.0566,            0.019758,            0.033645,             0.62808,              0.4289,             0.44112,             0.17938,            0.035612,           0.0076297,            0.023911,            0.010691,           0.0098141,           0.0098141
                   3,            0.055167,            0.018414,            0.028873,             0.52317,              0.5367,             0.47447,             0.24086,            0.032686,           0.0069059,            0.021211,           0.0098515,           0.0098515,           0.0098515
                   4,            0.050062,            0.016836,            0.026534,             0.54329,             0.54019,             0.55535,             0.27595,            0.028275,           0.0067452,            0.019982,           0.0098515,           0.0098515,           0.0098515
                   5,            0.046359,            0.016501,            0.024664,              0.4832,             0.52467,             0.54397,             0.31938,            0.029141,           0.0064383,            0.018193,            0.009802,            0.009802,            0.009802
                   6,            0.047363,             0.01611,            0.021935,             0.47266,              0.7592,             0.68056,             0.38396,            0.025499,           0.0063179,            0.016037,           0.0097525,           0.0097525,           0.0097525
                   7,            0.043102,            0.015259,            0.020648,             0.62674,             0.65198,             0.72341,             0.36485,            0.026142,           0.0061015,            0.014966,            0.009703,            0.009703,            0.009703
                   8,             0.04609,            0.015672,            0.017361,             0.74269,             0.73617,             0.79783,              0.4488,            0.028084,           0.0060913,           0.0095394,           0.0096535,           0.0096535,           0.0096535
                   9,            0.044161,            0.014859,            0.015707,              0.7284,             0.75449,             0.83549,              0.4991,            0.022505,           0.0057958,           0.0088103,            0.009604,            0.009604,            0.009604
                  10,            0.042249,            0.014887,            0.014962,             0.69634,             0.75562,             0.78077,             0.48834,             0.02301,           0.0057651,             0.01049,           0.0095545,           0.0095545,           0.0095545
                  11,            0.041344,            0.015061,            0.014969,             0.81587,             0.85088,             0.89306,             0.57277,            0.021942,           0.0057224,            0.006709,            0.009505,            0.009505,            0.009505
                  12,             0.04074,            0.013873,            0.011362,             0.84561,             0.81077,             0.89295,             0.59192,            0.021792,           0.0057191,           0.0075915,           0.0094555,           0.0094555,           0.0094555
                  13,            0.041368,            0.014217,            0.013153,             0.78627,             0.83949,             0.88026,             0.54311,            0.022307,           0.0058704,           0.0052441,            0.009406,            0.009406,            0.009406
                  14,            0.042622,            0.013974,            0.012136,             0.76975,             0.84771,             0.86588,             0.54772,            0.022716,           0.0054777,           0.0053966,           0.0093565,           0.0093565,           0.0093565
                  15,            0.036557,            0.014096,            0.010526,             0.77113,             0.86469,             0.87937,             0.55012,            0.022663,           0.0056889,           0.0041659,            0.009307,            0.009307,            0.009307
                  16,            0.042182,            0.014219,            0.010334,             0.91972,             0.85978,             0.94438,             0.58513,            0.024659,           0.0052598,           0.0035245,           0.0092575,           0.0092575,           0.0092575
                  17,            0.039277,            0.013842,             0.01038,             0.83759,             0.89749,             0.92575,             0.62623,            0.020265,           0.0054323,           0.0031844,            0.009208,            0.009208,            0.009208
                  18,            0.040123,            0.014141,            0.011375,             0.87417,             0.92125,             0.94965,             0.64027,            0.020658,           0.0053876,           0.0034905,           0.0091585,           0.0091585,           0.0091585
                  19,            0.036059,            0.013439,            0.008073,             0.88372,             0.89429,             0.93823,             0.61459,            0.021846,           0.0054418,           0.0035431,            0.009109,            0.009109,            0.009109
                  20,            0.038588,            0.013816,           0.0087076,             0.87657,             0.88364,             0.92746,             0.59637,            0.021778,            0.005451,           0.0039581,           0.0090595,           0.0090595,           0.0090595
                  21,            0.037424,            0.013927,           0.0078645,             0.90321,             0.88035,             0.93864,             0.65127,            0.017835,           0.0056185,           0.0039683,             0.00901,             0.00901,             0.00901
                  22,            0.032849,            0.013027,           0.0077996,              0.9041,             0.90537,             0.94254,             0.66687,            0.019057,           0.0052287,           0.0035441,           0.0089605,           0.0089605,           0.0089605
                  23,            0.037405,            0.013353,           0.0090246,             0.89618,             0.90936,             0.95046,             0.65539,            0.017883,           0.0053461,           0.0035914,            0.008911,            0.008911,            0.008911
                  24,            0.036743,            0.013276,           0.0086158,             0.90835,             0.90319,             0.95085,             0.65082,            0.016717,           0.0052856,           0.0042524,           0.0088615,           0.0088615,           0.0088615
                  25,            0.034956,            0.013671,           0.0075849,             0.91042,             0.86096,             0.94256,              0.6583,            0.016863,           0.0054765,           0.0049189,            0.008812,            0.008812,            0.008812
                  26,            0.039426,            0.013843,           0.0069541,              0.9219,             0.85653,              0.9374,             0.67933,            0.016824,           0.0050236,           0.0047807,           0.0087625,           0.0087625,           0.0087625
                  27,            0.036607,            0.013018,           0.0068521,             0.90552,             0.90911,             0.95077,             0.68892,            0.017585,           0.0052783,           0.0036994,            0.008713,            0.008713,            0.008713
